Tiempo_ms,Distancia_mm,Fuerza_N
20794,33.0,0.6759
20899,36.0,0.6679
21005,33.0,0.6191
21111,33.0,0.5183
7687,35.0,-0.0873
7792,34.0,-0.1528
7898,37.0,-0.1992
8004,34.0,-0.1726
8110,34.0,-0.1305
8215,34.0,-0.0795
8321,36.0,0.0475
8427,37.0,0.2032
8532,36.0,0.3542
8638,37.0,0.4905
8743,38.0,0.5654
8850,35.0,0.5487
8955,36.0,0.5527
9061,37.0,0.5051
9167,36.0,0.3461
9273,34.0,0.0492
9378,34.0,-0.1372
9484,37.0,-0.196
9590,34.0,-0.2034
9696,35.0,-0.1999
9801,34.0,-0.1823
9907,34.0,-0.1459
10013,36.0,-0.0949
10119,36.0,0.0723
10224,36.0,0.2871
10331,37.0,0.4904
10436,34.0,0.589
10542,35.0,0.6273
10648,33.0,0.5865
10754,37.0,0.5272
10859,34.0,0.4511
10964,34.0,0.3001
11071,35.0,0.0821
11176,34.0,-0.0309
11282,35.0,-0.1201
11388,33.0,-0.1943
11494,33.0,-0.2165
11599,34.0,-0.2004
11706,36.0,-0.1815
11811,35.0,-0.1487
11917,34.0,-0.0565
12023,37.0,0.0369
12129,35.0,0.1615
12234,37.0,0.3216
12341,35.0,0.4438
12446,34.0,0.5173
12552,35.0,0.5305
12658,37.0,0.49
12764,36.0,0.3744
12869,36.0,0.183
12975,35.0,0.0656
13081,36.0,-0.0592
13187,35.0,-0.1539
13292,35.0,-0.1854
13399,34.0,-0.1876
13504,35.0,-0.1924
13609,33.0,-0.1941
13716,34.0,-0.1695
13821,35.0,-0.1005
13927,36.0,0.0087
14033,33.0,0.1791
14139,35.0,0.3532
14244,33.0,0.531
14351,34.0,0.5753
14456,33.0,0.564
14562,36.0,0.5428
14668,36.0,0.4527
14774,36.0,0.2902
14879,35.0,0.1078
14985,39.0,-0.0102
15091,33.0,-0.1235
15197,35.0,-0.2054
15302,35.0,-0.2308
15409,35.0,-0.2313
15514,35.0,-0.1948
15620,32.0,-0.147
15726,36.0,-0.066
15832,34.0,0.0763
15937,35.0,0.272
16044,34.0,0.5046
16149,32.0,0.6164
16254,35.0,0.6182
16361,34.0,0.5986
16466,36.0,0.5647
16572,36.0,0.502
16677,34.0,0.3828
16784,36.0,0.263
16889,36.0,0.055
16995,35.0,-0.0587
17101,34.0,-0.1005
17207,35.0,-0.1164
17312,34.0,-0.1402
17419,35.0,-0.1493
17524,36.0,-0.1441
17630,36.0,-0.1106
17736,35.0,0.0368
17842,34.0,0.4249
17947,37.0,0.6198
18054,35.0,0.654
18159,35.0,0.6176
18265,35.0,0.5144
18370,34.0,0.3691
18477,34.0,0.2338
18582,35.0,0.1174
18688,35.0,-0.0393
18794,36.0,-0.1255
18899,35.0,-0.1694
19005,35.0,-0.1698
19111,37.0,-0.1698
19217,35.0,-0.1623
19322,34.0,-0.1368
19429,36.0,-0.0982
19534,36.0,-0.0322
19640,37.0,0.251
19746,36.0,0.4966
19852,36.0,0.6528
19957,32.0,0.687
20064,35.0,0.6282
20169,35.0,0.5244
20275,36.0,0.3787
20381,35.0,0.207
20487,34.0,0.0125
20592,33.0,-0.0809
20698,32.0,-0.16
20804,34.0,-0.1832
20910,35.0,-0.198
21015,35.0,-0.1941
21122,36.0,-0.1913
7702,35.0,0.1751
7808,35.0,0.2458
7914,34.0,0.2364
8019,34.0,0.2155
8125,33.0,0.1887
8230,36.0,0.148
8337,35.0,0.0482
8442,36.0,-0.049
8548,36.0,-0.1431
8654,36.0,-0.2112
8760,34.0,-0.238
8865,34.0,-0.249
8971,36.0,-0.2478
9077,36.0,-0.2505
9183,36.0,-0.2464
9288,37.0,-0.2283
9394,36.0,-0.2039
9500,34.0,-0.1568
9606,36.0,-0.0212
9711,34.0,0.3048
9818,36.0,0.3694
9923,35.0,0.3483
10029,36.0,0.2753
10134,32.0,0.2041
10241,36.0,0.1778
10346,34.0,0.1647
10451,35.0,0.0939
10558,36.0,-0.0633
10663,36.0,-0.2156
10769,35.0,-0.246
10875,34.0,-0.2643
10981,36.0,-0.2737
11086,37.0,-0.2512
11193,36.0,-0.2332
11298,35.0,-0.2066
11404,33.0,-0.1726
11510,36.0,-0.135
11616,35.0,-0.0578
11721,35.0,0.0556
11828,35.0,0.2023
11933,36.0,0.3862
12039,37.0,0.3726
12144,35.0,0.2798
12251,35.0,0.1915
12356,37.0,0.0854
12462,35.0,-0.1307
12568,38.0,-0.1754
12674,36.0,-0.2022
12779,35.0,-0.2268
12886,36.0,-0.2374
12991,34.0,-0.2164
13096,36.0,-0.1798
13203,35.0,-0.1157
13308,37.0,0.1247
13414,35.0,0.3635
13520,35.0,0.4069
13626,36.0,0.4444
13731,36.0,0.4274
13838,34.0,0.2867
13943,34.0,0.1197
14049,36.0,0.0183
14154,38.0,-0.0583
14261,37.0,-0.15
14366,35.0,-0.1857
14472,36.0,-0.1811
14578,33.0,-0.1649
14684,34.0,-0.1571
14789,36.0,-0.1615
14896,34.0,-0.1638
15001,37.0,-0.1433
15107,36.0,-0.0997
15213,36.0,0.0003
15319,36.0,0.1274
15424,35.0,0.2397
15531,34.0,0.3086
15636,36.0,0.2804
15741,35.0,0.2813
15848,33.0,0.2626
15953,36.0,0.1455
16059,36.0,-0.0525
16165,37.0,-0.1461
16271,35.0,-0.1483
16376,36.0,-0.1353
16483,36.0,-0.1459
16588,36.0,-0.16
16694,35.0,-0.1863
16799,40.0,-0.2044
16906,36.0,-0.1868
17011,36.0,-0.1348
17117,35.0,0.0804
17223,37.0,0.2889
17329,35.0,0.3694
17434,34.0,0.3244
17541,35.0,0.2475
17646,35.0,0.1543
17752,36.0,0.0163
17858,36.0,-0.1232
17964,34.0,-0.147
18069,34.0,-0.1786
18176,37.0,-0.2265
18281,37.0,-0.2384
18386,36.0,-0.2357
18493,36.0,-0.2457
18598,36.0,-0.2418
18704,36.0,-0.2297
18810,33.0,-0.2022
18916,34.0,-0.095
19021,35.0,0.0456
19128,34.0,0.2276
19233,38.0,0.3175
19339,37.0,0.3558
19444,37.0,0.3472
19551,35.0,0.3244
19656,36.0,0.2457
19762,35.0,0.0715
19868,38.0,-0.1631
19974,34.0,-0.208
20079,36.0,-0.2057
20186,37.0,-0.2222
20291,34.0,-0.2437
20397,36.0,-0.2466
20503,36.0,-0.2279
20609,36.0,-0.1912
20714,36.0,-0.0893
20820,35.0,0.0442
20926,35.0,0.2541
21031,35.0,0.3883
21138,35.0,0.44
