Tiempo_ms,Distancia_mm,Fuerza_N
12967,35.0,1.2484
13073,38.0,1.1082
13178,35.0,0.8076
13284,35.0,0.3341
13390,36.0,-0.1489
13496,35.0,-0.3561
13601,36.0,-0.4441
13708,37.0,-0.4806
13813,37.0,-0.4548
13919,35.0,-0.3581
14025,34.0,-0.1845
14131,39.0,0.1332
14236,36.0,0.5433
14343,35.0,0.9996
14448,35.0,1.0924
14554,33.0,1.1246
14660,37.0,1.1166
14766,35.0,0.8929
14871,37.0,0.5599
14978,36.0,0.2479
15083,34.0,-0.0034
15188,38.0,-0.3124
15295,35.0,-0.4336
15400,36.0,-0.4582
15506,36.0,-0.4571
15612,35.0,-0.4053
15718,35.0,-0.0642
15823,36.0,0.373
15929,36.0,0.789
16035,35.0,1.1847
16141,34.0,1.4072
16246,37.0,1.4067
16353,34.0,1.279
16458,36.0,0.9792
16564,35.0,0.3821
16670,35.0,-0.027
16776,34.0,-0.3073
16881,36.0,-0.423
16988,36.0,-0.4536
17093,36.0,-0.4513
17199,35.0,-0.3898
17305,35.0,-0.167
17411,36.0,0.2407
17516,35.0,0.7814
17623,34.0,1.0518
17728,38.0,1.25
17833,36.0,1.3733
17939,35.0,1.3168
18045,34.0,1.115
18151,36.0,0.7899
18256,35.0,0.151
18363,34.0,-0.2528
18468,36.0,-0.3716
18574,35.0,-0.4331
18680,35.0,-0.4519
18786,36.0,-0.4648
18891,35.0,-0.4026
18998,35.0,-0.1908
19103,36.0,0.1734
19209,35.0,0.5546
19315,34.0,1.0641
19421,37.0,1.3686
19526,35.0,1.5233
19633,37.0,1.5009
19738,37.0,1.0891
19844,36.0,0.6467
19950,35.0,0.1297
20056,37.0,-0.2342
20161,36.0,-0.399
20267,36.0,-0.4444
20373,33.0,-0.447
20478,35.0,-0.4231
20584,36.0,-0.3747
20690,37.0,-0.0075
20796,36.0,0.3286
20901,37.0,0.6522
21008,35.0,0.9815
21113,36.0,1.2391
7630,35.0,0.5129
7737,34.0,0.1668
7842,34.0,-0.2803
7948,36.0,-0.4739
8053,34.0,-0.5981
8160,33.0,-0.6192
8265,36.0,-0.5875
8371,35.0,-0.5214
8477,36.0,-0.3771
8583,36.0,0.0495
8688,34.0,0.4369
8794,36.0,0.7799
8900,35.0,0.9558
9006,34.0,0.9907
9111,34.0,0.8976
9217,36.0,0.7654
9323,33.0,0.6427
9428,35.0,0.4467
9534,34.0,0.1433
9640,33.0,-0.1408
9746,37.0,-0.3148
9851,34.0,-0.4243
9957,35.0,-0.5105
10063,35.0,-0.516
10169,36.0,-0.4599
10274,37.0,-0.2523
10381,37.0,0.2934
10486,36.0,0.6626
10592,36.0,0.906
10698,34.0,1.0079
10804,35.0,1.0524
10909,34.0,1.0282
11015,34.0,0.9145
11121,35.0,0.6877
11227,37.0,0.115
11332,36.0,-0.2405
11439,35.0,-0.4457
11544,37.0,-0.5515
11650,34.0,-0.5619
11756,37.0,-0.5429
11862,36.0,-0.3946
11967,35.0,-0.0742
12073,35.0,0.3274
12179,36.0,0.73
12284,35.0,0.8995
12391,35.0,0.9732
12496,35.0,0.917
12602,37.0,0.7558
12708,33.0,0.6424
12814,35.0,0.4666
12919,35.0,0.1455
13025,35.0,-0.2979
13131,35.0,-0.4595
13237,35.0,-0.5326
13342,35.0,-0.5578
13449,36.0,-0.5059
13554,36.0,-0.3844
13660,35.0,-0.1333
13766,34.0,0.2202
13872,36.0,0.5806
13977,34.0,0.9231
14084,35.0,1.0947
14189,37.0,1.0575
14295,37.0,0.6937
14401,34.0,0.0917
14507,35.0,-0.2085
14612,35.0,-0.4127
14718,37.0,-0.5173
14824,36.0,-0.5753
14929,33.0,-0.5662
15035,37.0,-0.4816
15141,35.0,-0.1344
15247,33.0,0.4505
15352,35.0,0.8106
15459,37.0,1.0607
15564,36.0,1.1996
15670,34.0,1.2215
15776,36.0,1.0041
15882,36.0,0.6527
15987,36.0,0.1894
16094,35.0,-0.2532
16199,35.0,-0.457
16305,33.0,-0.5145
16411,34.0,-0.514
16517,34.0,-0.5099
16622,37.0,-0.3706
16729,35.0,0.0295
16834,35.0,0.5054
16940,36.0,0.8409
17045,34.0,1.1099
17152,36.0,1.1707
17257,34.0,1.167
17362,36.0,1.0721
17469,34.0,0.8657
17574,34.0,0.3258
17680,37.0,-0.1491
17786,37.0,-0.4416
17892,36.0,-0.5901
17997,36.0,-0.597
18104,38.0,-0.5614
18209,36.0,-0.4963
18315,36.0,-0.3392
18421,33.0,0.1733
18527,37.0,0.8033
18632,34.0,1.1337
18739,37.0,1.3757
18844,34.0,1.4795
18950,35.0,1.4435
19056,35.0,1.3733
19162,36.0,1.1399
19267,36.0,0.5724
19373,36.0,-0.1322
19479,37.0,-0.3618
19585,35.0,-0.4737
19690,36.0,-0.5271
19796,37.0,-0.5236
19902,36.0,-0.5053
20007,35.0,-0.4373
20114,34.0,-0.2039
20219,36.0,0.4279
20325,34.0,0.8825
20431,35.0,1.2335
20537,36.0,1.4338
20642,34.0,1.3881
20749,36.0,1.1756
20854,35.0,0.7451
20960,36.0,0.3581
21066,37.0,-0.0165
21172,33.0,-0.3381
