PWM,Corriente_ADC,Corriente_real(A)
120,85,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,86,0.282
120,87,0.282
120,87,0.282
135,95,0.308
135,95,0.308
135,95,0.308
135,95,0.308
135,95,0.308
135,95,0.308
135,94,0.308
135,95,0.308
135,96,0.308
135,96,0.308
135,95,0.308
135,95,0.308
135,96,0.308
135,96,0.308
135,95,0.308
135,95,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,95,0.308
135,95,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,95,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,95,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,95,0.308
135,95,0.308
135,95,0.308
135,96,0.308
135,96,0.308
135,96,0.308
135,95,0.308
135,95,0.308
135,96,0.308
135,96,0.308
135,96,0.308
150,107,0.337
150,107,0.337
150,107,0.337
150,107,0.337
150,107,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,108,0.337
150,107,0.337
150,108,0.337
150,108,0.337
150,108,0.337
165,117,0.365
165,117,0.365
165,117,0.365
